code,field,university,avg_pref_success,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
224,2/4,ΔΠΘ,4.0,11217.0,11050.0,11534.0,11800.0,12370.0,11490.0,11590.0,12820.0
225,2,ΕΜΠ,4.0,13047.0,13025.0,14449.0,14140.0,14775.0,14575.0,14715.0,15815.0
227,2,ΑΠΘ,4.0,11591.0,11725.0,12321.0,12580.0,12960.0,12695.0,12655.0,13880.0
228,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,5.0,7468.0,7600.0,9283.0,9766.0,10613.0,10269.0,10553.0,11690.0
229,2,ΕΜΠ,2.0,17643.0,17325.0,17915.0,17860.0,18250.0,17760.0,17840.0,18590.0
230,2/4,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,11986.0,11350.0,12092.0,12190.0,12130.0,12030.0,12290.0,12510.0
231,2,ΕΜΠ,1.0,19050.0,19165.0,19929.0,19285.0,19950.0,19335.0,20380.0,20995.0
232,2,ΠΑΝ. ΠΑΤΡΩΝ,2.0,15602.0,16365.0,18840.0,18010.0,18854.0,18554.0,18690.0,19228.0
233,2,ΑΠΘ,1.0,16952.0,17885.0,17372.0,17070.0,17985.0,17365.0,18135.0,19130.0
234,2,ΔΠΘ,3.0,11233.0,12335.0,0.0,13205.0,14365.0,14650.0,15575.0,16765.0
235,2,ΕΜΠ,2.0,17479.0,17000.0,17774.0,17570.0,18155.0,17510.0,17775.0,18455.0
236,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2.0,14109.0,15100.0,14217.0,15855.0,16985.0,16400.0,17105.0,18230.0
237,2,ΑΠΘ,2.0,16474.0,16450.0,17096.0,16680.0,17235.0,16640.0,17000.0,17765.0
238,2/4,ΠΑΝ. ΑΙΓΑΙΟΥ,3.0,7342.0,6975.0,9866.0,8840.0,8950.0,9510.0,10330.0,10580.0
239,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,15918.0,15700.0,16330.0,15815.0,16420.0,15730.0,16275.0,17120.0
240,4,ΟΠΑ,1.0,17959.0,17900.0,18422.0,17925.0,18350.0,18175.0,18400.0,18425.0
241,2,ΕΜΠ,3.0,14311.0,13775.0,13546.0,13175.0,13425.0,13375.0,13800.0,14700.0
242,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,5.0,6063.0,2650.0,9138.0,9280.0,9815.0,9370.0,9440.0,10170.0
243,2,ΕΚΠΑ,2.0,14617.0,14275.0,14671.0,14140.0,14725.0,14405.0,14500.0,15850.0
245,2,ΑΠΘ,2.0,14019.0,13450.0,14485.0,14055.0,14735.0,14460.0,14200.0,14965.0
246,2,ΕΜΠ,3.0,15364.0,15325.0,16058.0,15820.0,16240.0,15510.0,15860.0,16870.0
247,2,ΠΑΝ. ΠΑΤΡΩΝ,3.0,11395.0,10675.0,10618.0,11097.0,11391.0,10064.0,10053.0,10600.0
248,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,7478.0,6250.0,10102.0,10580.0,10620.0,9450.0,9675.0,10575.0
249,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,10936.0,10025.0,9357.0,12305.0,13100.0,12150.0,9385.0,10315.0
251,2,ΠΑΝ. ΚΡΗΤΗΣ,4.0,9285.0,8975.0,10829.0,10860.0,10800.0,9375.0,9515.0,10600.0
252,2,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,7501.0,3125.0,9708.0,9445.0,9670.0,9210.0,11275.0,10590.0
253,2,ΕΚΠΑ,2.0,15417.0,15400.0,15834.0,15217.0,14634.0,14183.0,14513.0,15838.0
255,2,ΑΠΘ,2.0,14339.0,14275.0,14328.0,14163.0,14576.0,14237.0,14518.0,13178.0
257,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,12836.0,12650.0,11374.0,11670.0,12160.0,11520.0,10920.0,11580.0
259,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,11379.0,11500.0,9941.0,11857.0,12835.0,10502.0,9365.0,10416.0
261,2,ΠΑΝ. ΚΡΗΤΗΣ,3.0,11375.0,11075.0,14397.0,12160.0,12825.0,12784.0,13073.0,13871.0
