code,field,university,avg_pref_success,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
317,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,279.0,-149.0,-536.0,300.0,170.0,250.0,160.0
318,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,5.0,390.0,-427.0,787.0,155.0,140.0,315.0,355.0
319,4,ΠΑΝ. ΠΑΤΡΩΝ,3.0,930.0,-465.0,705.0,-62.0,-88.0,136.0,-396.0
320,4,ΠΑΝ. ΑΙΓΑΙΟΥ,4.0,295.0,1895.0,695.0,-265.0,-95.0,800.0,-25.0
321,4,ΠΑΝ. ΚΡΗΤΗΣ,3.0,1240.0,234.0,656.0,-155.0,40.0,-510.0,115.0
322,4,ΠΑΝ. ΜΑΚΕΔ.,2.0,542.0,317.0,-138.0,818.0,278.0,157.0,138.0
323,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,4.0,-1994.0,435.0,95.0,-1415.0,880.0,2600.0,-4230.0
324,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,-2394.0,1579.0,246.0,-530.0,460.0,-30.0,30.0
325,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,-1463.0,1281.0,-156.0,-55.0,-250.0,-75.0,415.0
326,3/4,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,4.0,-270.0,1211.0,-151.0,-170.0,300.0,20.0,-190.0
327,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,-1710.0,1760.0,-620.0,85.0,-205.0,195.0,455.0
328,2/3,ΓΕΩΠΟΝΙΚΟ ΠΑΝ.,5.0,-1437.0,946.0,-111.0,-235.0,-230.0,-200.0,-305.0
329,2/4,ΟΠΑ,3.0,88.0,-109.0,512.0,440.0,-286.0,458.0,500.0
330,2/4,ΕΚΠΑ,2.0,-90.0,612.0,-152.0,400.0,-710.0,-120.0,60.0
331,2,ΠΟΛ/ΧΝΕΙΟ ΚΡΗΤΗΣ,4.0,-255.0,847.0,-1395.0,708.0,-293.0,156.0,1122.0
332,2,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,3.0,-95.0,759.0,-374.0,310.0,-490.0,350.0,1190.0
333,2/4,ΟΠΑ,2.0,117.0,695.0,-95.0,520.0,-450.0,370.0,90.0
334,1/2/3/4,ΠΑΝ. ΔΥΤ. ΜΑΚ.,4.0,-572.0,561.0,-366.0,750.0,-40.0,-120.0,-430.0
336,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,5.0,480.0,-75.0,-275.0,415.0,220.0,5.0,415.0
