code,field,university,avg_pref_success,diff_14_13,diff_15_14,diff_16_15,diff_17_16,diff_18_17,diff_19_18,diff_20_19,diff_21_20,diff_22_21,diff_23_22,diff_24_23,diff_25_24,diff_26_25
257,2,ΠΑΝ. ΠΑΤΡΩΝ,4.0,249.0,179.0,408.0,-231.0,-587.0,-1077.0,-186.0,-1276.0,296.0,490.0,-640.0,-600.0,660.0
259,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,703.0,-222.0,356.0,-159.0,-730.0,-1890.0,121.0,-1559.0,1916.0,978.0,-2333.0,-1137.0,1051.0
261,2,ΠΑΝ. ΚΡΗΤΗΣ,3.0,803.0,-113.0,498.0,-287.0,-811.0,-1788.0,-300.0,3322.0,-2237.0,665.0,-41.0,289.0,798.0
262,2/4,ΠΑΝ. ΠΕΙΡΑΙΑ,4.0,795.0,95.0,-57.0,-12.0,64.0,463.0,533.0,493.0,122.0,620.0,-430.0,110.0,-80.0
263,2/3,ΕΚΠΑ,4.0,812.0,-433.0,358.0,972.0,-222.0,-429.0,-932.0,994.0,26.0,85.0,-325.0,95.0,475.0
265,2/3,ΑΠΘ,5.0,961.0,-547.0,241.0,1519.0,-365.0,-478.0,-1246.0,1212.0,-67.0,55.0,-160.0,-75.0,625.0
267,2/3,ΠΑΝ. ΠΑΤΡΩΝ,5.0,1020.0,-410.0,287.0,1675.0,-369.0,-480.0,-1391.0,1300.0,15.0,-60.0,-60.0,-180.0,500.0
269,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,1036.0,-427.0,224.0,2079.0,-453.0,-514.0,-1578.0,1425.0,-180.0,-45.0,-255.0,-150.0,865.0
270,2/3,ΠΑΝ. ΚΡΗΤΗΣ,5.0,1024.0,-404.0,115.0,2154.0,-450.0,-548.0,-1652.0,1481.0,-232.0,-184.0,-308.0,-104.0,805.0
272,2,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,4.0,-1254.0,1251.0,-155.0,1657.0,-520.0,-1936.0,-393.0,330.0,845.0,900.0,25.0,550.0,700.0
273,2/3,ΑΠΘ,5.0,812.0,-537.0,2918.0,-533.0,-425.0,-1518.0,-1519.0,1063.0,32.0,-350.0,420.0,90.0,-1200.0
274,2/3,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,4.0,642.0,-443.0,2338.0,21.0,-838.0,-2718.0,-1675.0,336.0,309.0,-1110.0,1160.0,40.0,390.0
275,2/3,ΑΠΘ,5.0,-201.0,371.0,-626.0,2247.0,-1052.0,-1512.0,-2095.0,3297.0,-262.0,-1080.0,940.0,-330.0,-880.0
276,2/3/4,ΠΑΝ. ΑΙΓΑΙΟΥ,5.0,-1235.0,942.0,-925.0,2923.0,-292.0,-3360.0,-3053.0,5697.0,-1267.0,-460.0,380.0,-100.0,-110.0
277,2/3,ΕΚΠΑ,4.0,853.0,-568.0,658.0,0.0,-284.0,-363.0,-938.0,913.0,-111.0,151.0,-210.0,-65.0,267.0
279,2/3,ΑΠΘ,5.0,804.0,-618.0,807.0,-41.0,-316.0,-443.0,-946.0,943.0,-41.0,37.0,-117.0,-132.0,361.0
280,2/3,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,5.0,724.0,-385.0,1542.0,-308.0,-430.0,-430.0,-1445.0,1475.0,-120.0,-265.0,5.0,-10.0,365.0
