code,field,university,avg_pref_success,base_2013,base_2014,base_2015,base_2016,base_2017,base_2018,base_2019,base_2020,base_2021,base_2022,base_2023,base_2024,base_2025,base_2026
413,1,ΑΕΑ ΑΘΗΝΑΣ,6.0,9552.0,10081.0,9878.0,10309.0,10255.0,10071.0,8197.0,6650.0,8753.0,15425.0,11895.0,10010.0,9130.0,13555.0
416,1,ΑΕΑ ΚΡΗΤΗΣ,6.0,8022.0,9224.0,8595.0,9800.0,8674.0,9667.0,7657.0,6175.0,10475.0,10335.0,0.0,9760.0,0.0,0.0
476,2,ΔΠΘ,5.0,12038.0,10518.0,11401.0,11417.0,11884.0,9561.0,7270.0,6750.0,9300.0,9200.0,9050.0,9320.0,9790.0,10660.0
477,2,ΑΣΠΑΙΤΕ,4.0,10317.0,10180.0,10482.0,8712.0,9787.0,9555.0,8263.0,7400.0,10205.0,10005.0,10350.0,10255.0,10255.0,10865.0
497,2,ΑΣΠΑΙΤΕ,4.0,9720.0,9543.0,10079.0,7648.0,9299.0,9046.0,7293.0,6550.0,9298.0,9445.0,10855.0,10250.0,10315.0,11345.0
507,2,ΑΣΠΑΙΤΕ,5.0,9629.0,9448.0,10018.0,6450.0,8921.0,8669.0,6631.0,5650.0,9161.0,9695.0,11145.0,10430.0,10815.0,13030.0
613,1/4,ΑΣΤΕ,3.0,8401.0,7516.0,8986.0,12465.0,13388.0,12988.0,11391.0,9000.0,9721.0,11256.0,11628.0,11678.0,11312.0,10992.0
614,1/4,ΑΣΤΕ,4.0,7268.0,4395.0,6951.0,12378.0,13605.0,13461.0,12079.0,9385.0,9955.0,11472.0,11852.0,11912.0,11706.0,11256.0
776,2,ΑΣΠΑΙΤΕ,5.0,10019.0,9685.0,10089.0,7160.0,9162.0,8863.0,6678.0,5725.0,10126.0,9925.0,10775.0,10350.0,10315.0,11100.0
801,2/3/4,ΣΣΕ,3.0,16105.0,16890.0,16064.0,16095.0,16001.0,15990.0,15737.0,15200.0,14022.0,14025.0,12220.0,12230.0,10865.0,12990.0
806,2/3/4,ΣΣΕ,3.0,17608.0,18536.0,17355.0,17642.0,17411.0,17250.0,17039.0,16725.0,16335.0,15810.0,15555.0,12415.0,13055.0,15750.0
811,2/3,ΣΝΔ,2.0,17052.0,18143.0,17389.0,17662.0,17262.0,17652.0,16895.0,16175.0,15344.0,14525.0,12744.0,11076.0,11069.0,11109.0
816,2/3,ΣΝΔ,2.0,17817.0,18425.0,17685.0,17838.0,17723.0,17728.0,17463.0,16700.0,16659.0,14407.0,13799.0,11629.0,11898.0,11316.0
817,2/4,Α.Ε.Ν.,1.0,10651.0,10338.0,10278.0,11036.0,10549.0,9932.0,9827.0,10025.0,7614.0,8375.0,8350.0,8325.0,8400.0,8275.0
818,2/4,Α.Ε.Ν.,2.0,9955.0,9337.0,9848.0,9524.0,8889.0,8466.0,8468.0,7550.0,7331.0,8375.0,8375.0,8350.0,8400.0,8300.0
821,2/3,ΣΙ,1.0,16819.0,17875.0,17189.0,17786.0,17127.0,17393.0,16833.0,16875.0,16994.0,16135.0,16125.0,14575.0,14685.0,16000.0
826,2/3,ΣΙ,1.0,19058.0,19225.0,18904.0,18625.0,18948.0,18529.0,18576.0,18250.0,18557.0,17850.0,18290.0,16525.0,16335.0,17295.0
831,3,ΣΣΑΣ,2.0,19207.0,19330.0,18994.0,19088.0,19141.0,18915.0,18674.0,17650.0,18155.0,17925.0,18050.0,17600.0,17550.0,18050.0
836,3,ΣΣΑΣ,3.0,18889.0,19144.0,18735.0,18992.0,18968.0,18694.0,18490.0,18075.0,18117.0,17920.0,18200.0,17535.0,17770.0,18535.0
841,3,ΣΣΑΣ,3.0,18524.0,19050.0,18551.0,18827.0,18816.0,18526.0,18032.0,17250.0,17707.0,17776.0,18044.0,17535.0,17482.0,17856.0
846,3,ΣΣΑΣ,3.0,18860.0,18987.0,18632.0,18913.0,18828.0,18662.0,18542.0,17450.0,17921.0,17750.0,17950.0,17375.0,17300.0,17975.0
851,3,ΣΑΝ,5.0,17668.0,18256.0,17681.0,18355.0,18293.0,18172.0,17580.0,16400.0,16990.0,16500.0,16650.0,14425.0,14500.0,13700.0
